Andorra	1.42211079597473	42.6586990356445	1.78038918972015	42.4350738525391
United Arab Emirates	51.583324432373	26.0841617584229	56.381664276123	22.6333274841309
Afghanistan	60.4784355163574	38.4834251403809	74.8794631958008	29.3774700164795
Antigua and Barbuda	-61.9064292907715	17.7293891906738	-61.6724166870117	16.996976852417
Anguilla	-63.1729049682617	18.28342628479	-62.9713516235352	18.1668128967285
Albania	19.2939682006836	42.6656150817871	21.0684757232666	39.6483535766602
Armenia	43.4497756958008	41.3018379211426	49.4783973693848	38.3970527648926
Netherlands Antilles	-69.1572189331055	12.3856735229492	-68.1922988891602	12.0171480178833
Angola	11.679217338562	-4.3768253326416	24.0821228027344	-18.0420780181885
Antarctica	-179.999923706055	-60.5155258178711	179.999923706055	-89.9999084472656
Argentina	-73.5829849243164	-21.7812747955322	-53.5918273925781	-55.0613212585449
American Samoa	-170.841339111328	-14.1621150970459	-169.416061401367	-14.3824796676636
Austria	9.53591442108154	49.0170631408691	17.1627254486084	46.3780250549316
Australia	112.91104888916	-10.0628032684326	153.639282226562	-43.6439743041992
Aruba	-70.0611419677734	12.6306190490723	-69.8668518066406	12.4060916900635
Aland Islands	19.6490249633789	60.4251174926758	20.2907791137695	59.9779357910156
Azerbaijan	44.7741088867188	41.905647277832	50.3700904846191	38.8201866149902
Bosnia and Herzegovina	15.7189435958862	45.239200592041	19.6222267150879	42.5461044311523
Barbados	-59.6489295959473	13.3272581100464	-59.4203720092773	13.0398426055908
Bangladesh	88.0283279418945	26.6319484710693	92.6736831665039	20.7433319091797
Belgium	2.54694366455078	51.5054512023926	6.40386152267456	49.4936027526855
Burkina Faso	-5.51891660690308	15.082594871521	2.40539526939392	9.40110683441162
Bulgaria	22.3711624145508	44.2176475524902	28.6121692657471	41.2420768737793
Bahrain	50.4541358947754	26.282585144043	50.664478302002	25.7968597412109
Burundi	28.9930572509766	-2.31012272834778	30.8477325439453	-4.46571350097656
Benin	0.774574935436249	12.4183483123779	3.85170125961304	6.22574710845947
Saint Barthélemy	-62.8763618469238	17.932689666748	-62.7924041748047	17.883939743042
Bermuda	-64.8960647583008	32.3790092468262	-64.651985168457	32.2466316223145
Brunei	114.071434020996	5.04716777801514	115.35945892334	4.00308227539062
Bolivia	-69.6407699584961	-9.68056583404541	-57.4580917358398	-22.8961353302002
Brazil	-73.9855499267578	5.2648777961731	-32.392993927002	-33.7507133483887
Bahamas	-78.9959259033203	26.919246673584	-74.4238662719727	22.8527393341064
Bhutan	88.7597122192383	28.3237800598145	92.1252059936523	26.7076377868652
Bouvet Island	3.33549857139587	-54.400318145752	3.48797631263733	-54.4623870849609
Botswana	19.999532699585	-17.7808094024658	29.3607845306396	-26.9072494506836
Belarus	23.1768856048584	56.1658134460449	32.770809173584	51.2564086914062
Belize	-89.2248229980469	18.4965591430664	-87.776969909668	15.8892984390259
Canada	-141.000015258789	83.1106338500977	-52.6362838745117	41.6759757995605
Cocos Islands	96.8212661743164	-12.114803314209	96.9360961914062	-12.185417175293
Congo - Kinshasa	12.2041425704956	5.38609886169434	31.3059139251709	-13.4556760787964
Central African Republic	14.4200954437256	11.0075702667236	27.4634246826172	2.22051358222961
Congo - Brazzaville	11.2050075531006	3.70308232307434	18.6498413085938	-5.02722358703613
Switzerland	5.95747137069702	47.8053359985352	10.491473197937	45.8256874084473
Ivory Coast	-8.59930324554443	10.7366437911987	-2.49489665031433	4.35706615447998
Cook Islands	-161.093673706055	-10.0231122970581	-157.312118530273	-21.9441661834717
Chile	-109.455902099609	-17.5075492858887	-66.4175491333008	-55.9163551330566
Cameroon	8.49476146697998	13.0780572891235	16.1921195983887	1.65254783630371
China	73.5576782226562	53.5608673095703	134.773941040039	15.7754144668579
Colombia	-81.7281188964844	13.38050365448	-66.8698272705078	-4.22586965560913
Costa Rica	-85.9506378173828	11.2168207168579	-82.5559768676758	8.03297328948975
Cuba	-84.9574432373047	23.2260456085205	-74.1317672729492	19.8280792236328
Cape Verde	-25.3587493896484	17.1971817016602	-22.6694393157959	14.8080205917358
Christmas Island	105.538932800293	-10.4157762527466	105.719596862793	-10.5757246017456
Cyprus	32.273078918457	35.7015342712402	34.5979232788086	34.5634918212891
Czech Republic	12.0937032699585	51.0536079406738	18.8522205352783	48.5813751220703
Germany	5.865638256073	55.0556411743164	15.0398902893066	47.2757720947266
Djibouti	41.7734680175781	12.7068347930908	43.4169769287109	10.9099159240723
Denmark	8.07560920715332	57.7484245300293	15.1588354110718	54.5623817443848
Dominica	-61.4841156005859	15.6318101882935	-61.2441444396973	15.2016887664795
Dominican Republic	-72.0035018920898	19.9298610687256	-68.3199920654297	17.543155670166
Algeria	-8.67386913299561	37.0937271118164	11.979549407959	18.9600257873535
Ecuador	-91.6618881225586	1.41893422603607	-75.1845779418945	-4.99882364273071
Estonia	21.8375816345215	59.6762313842773	28.2099742889404	57.516185760498
Egypt	24.6981086730957	31.6673374176025	35.7948684692383	21.7253856658936
Western Sahara	-17.1031856536865	27.669677734375	-8.67027473449707	20.7741546630859
Eritrea	36.4387741088867	18.0030860900879	43.1346473693848	12.3595533370972
Spain	-18.169641494751	43.7917251586914	4.31538963317871	27.6388168334961
Ethiopia	32.9999351501465	14.8937511444092	47.9861831665039	3.40242171287537
Finland	19.5207176208496	70.096061706543	31.5809459686279	59.8087730407715
Fiji	177.129364013672	-12.4801092147827	-178.424453735352	-20.6759719848633
Falkland Islands	-61.3451995849609	-51.2406425476074	-57.7124786376953	-52.3605194091797
Micronesia	138.052810668945	9.63636207580566	163.034912109375	5.26533222198486
